NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,CATCH_CLAUSE: IOException,CATCH_CLAUSES: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,IF_STATEMENT: (successResult != null),BODY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,CATCH_CLAUSE: IOException,CATCH_CLAUSES: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,IF_STATEMENT: (errorResult != null),BODY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,CATCH_CLAUSE: IOException,CATCH_CLAUSES: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: process.destroy();,THEN_STATEMENT: (process != null),"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,CONTINUE_STATEMENT: ,THEN_STATEMENT: (command == null),"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: e.printStackTrace();,CATCH_CLAUSE: IOException,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: e.printStackTrace();,CATCH_CLAUSE: IOException,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: e.printStackTrace();,CATCH_CLAUSE: IOException,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: successMsg.append(line);,THEN_STATEMENT: ((line = successResult.readLine()) != null),"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,WHILE_STATEMENT: ((line = successResult.readLine()) != null),THEN_STATEMENT: ((line = successResult.readLine()) != null),"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: errorMsg.append(line);,THEN_STATEMENT: ((line = errorResult.readLine()) != null),"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,WHILE_STATEMENT: ((line = errorResult.readLine()) != null),THEN_STATEMENT: ((line = errorResult.readLine()) != null),"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: os.close();,THEN_STATEMENT: (os != null),"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: successResult.close();,THEN_STATEMENT: (successResult != null),"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: errorResult.close();,THEN_STATEMENT: (errorResult != null),"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: successMsg.append(LINE_SEP).append(line);,WHILE_STATEMENT: ((line = successResult.readLine()) != null),"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: errorMsg.append(LINE_SEP).append(line);,WHILE_STATEMENT: ((line = errorResult.readLine()) != null),"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_DELETE,"RETURN_STATEMENT: execCmd(commands, null, isRooted, isNeedResultMsg);","METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)","com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",MEDIUM,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,REMOVED_FUNCTIONALITY,"METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String[],String[],boolean,boolean)",CLASS: com.blankj.utilcode.util.ShellUtils,com.blankj.utilcode.util.ShellUtils,CRUCIAL,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,REMOVED_FUNCTIONALITY,"METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String,List<String>,boolean)",CLASS: com.blankj.utilcode.util.ShellUtils,com.blankj.utilcode.util.ShellUtils,CRUCIAL,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,REMOVED_FUNCTIONALITY,"METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String,List<String>,boolean,boolean)",CLASS: com.blankj.utilcode.util.ShellUtils,com.blankj.utilcode.util.ShellUtils,CRUCIAL,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,REMOVED_FUNCTIONALITY,"METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(List<String>,List<String>,boolean)",CLASS: com.blankj.utilcode.util.ShellUtils,com.blankj.utilcode.util.ShellUtils,CRUCIAL,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,REMOVED_FUNCTIONALITY,"METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String,String[],boolean,boolean)",CLASS: com.blankj.utilcode.util.ShellUtils,com.blankj.utilcode.util.ShellUtils,CRUCIAL,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,VARIABLE_DECLARATION_STATEMENT: int result = (- 1);,"METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)","com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,IF_STATEMENT: ((commands == null) || (commands.length == 0)),"METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)","com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,VARIABLE_DECLARATION_STATEMENT: Process process = null;,"METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)","com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,VARIABLE_DECLARATION_STATEMENT: BufferedReader successResult = null;,"METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)","com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,VARIABLE_DECLARATION_STATEMENT: BufferedReader errorResult = null;,"METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)","com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,VARIABLE_DECLARATION_STATEMENT: StringBuilder successMsg = null;,"METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)","com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,VARIABLE_DECLARATION_STATEMENT: StringBuilder errorMsg = null;,"METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)","com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,VARIABLE_DECLARATION_STATEMENT: DataOutputStream os = null;,"METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)","com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,TRY_STATEMENT: ,"METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)","com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,"RETURN_STATEMENT: new CommandResult(result, ((successMsg == null) ? "" : successMsg.toString()), ((errorMsg == null) ? "" : errorMsg.toString()));","METHOD: com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)","com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,"RETURN_STATEMENT: new CommandResult(result, "", "");",THEN_STATEMENT: ((commands == null) || (commands.length == 0)),"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,"ASSIGNMENT: process = Runtime.getRuntime().exec((isRooted ? su"" : ""sh""));""",BODY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,ASSIGNMENT: os = new DataOutputStream(process.getOutputStream());,BODY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,FOREACH_STATEMENT: String command:commands,BODY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,"METHOD_INVOCATION: os.writeBytes((exit"" + LINE_SEP));""",BODY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: os.flush();,BODY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,ASSIGNMENT: result = process.waitFor();,BODY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,IF_STATEMENT: isNeedResultMsg,BODY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,CATCH_CLAUSE: Exception,CATCH_CLAUSES: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,TRY_STATEMENT: ,FINALLY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,TRY_STATEMENT: ,FINALLY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,TRY_STATEMENT: ,FINALLY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,IF_STATEMENT: (process != null),FINALLY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,IF_STATEMENT: (command == null),FOREACH_STATEMENT: String command:commands,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: os.write(command.getBytes());,FOREACH_STATEMENT: String command:commands,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: os.writeBytes(LINE_SEP);,FOREACH_STATEMENT: String command:commands,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: os.flush();,FOREACH_STATEMENT: String command:commands,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: e.printStackTrace();,CATCH_CLAUSE: Exception,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,ASSIGNMENT: successMsg = new StringBuilder();,THEN_STATEMENT: isNeedResultMsg,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,ASSIGNMENT: errorMsg = new StringBuilder();,THEN_STATEMENT: isNeedResultMsg,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,"ASSIGNMENT: successResult = new BufferedReader(new InputStreamReader(process.getInputStream(), UTF-8""));""",THEN_STATEMENT: isNeedResultMsg,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,"ASSIGNMENT: errorResult = new BufferedReader(new InputStreamReader(process.getErrorStream(), UTF-8""));""",THEN_STATEMENT: isNeedResultMsg,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,VARIABLE_DECLARATION_STATEMENT: String line;,THEN_STATEMENT: isNeedResultMsg,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,IF_STATEMENT: ((line = successResult.readLine()) != null),THEN_STATEMENT: isNeedResultMsg,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,IF_STATEMENT: ((line = errorResult.readLine()) != null),THEN_STATEMENT: isNeedResultMsg,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,IF_STATEMENT: (os != null),BODY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,CATCH_CLAUSE: IOException,CATCH_CLAUSES: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,IF_STATEMENT: (successResult != null),BODY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,CATCH_CLAUSE: IOException,CATCH_CLAUSES: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,IF_STATEMENT: (errorResult != null),BODY: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,CATCH_CLAUSE: IOException,CATCH_CLAUSES: ,"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
2,fd2d59aa451d0a1c038757d68e5387ef5c7d4230,STATEMENT_INSERT,METHOD_INVOCATION: process.destroy();,THEN_STATEMENT: (process != null),"com.blankj.utilcode.util.ShellUtils.execCmd(String[],boolean,boolean)",LOW,,
